,period,state,stateName,timePeriod,sector,sectorName,all-other-costs,customer-incentive,energy-savings,potential-peak-savings,all-other-costs-units,customer-incentive-units,energy-savings-units,potential-peak-savings-units
886,2019,KS,Kansas,Reporting Year,RES,residential,81,223,300,5.9,thousand dollars,thousand dollars,megawatthours,megawatts
887,2019,IN,Indiana,Reporting Year,RES,residential,39304,17940,366224,102.8,thousand dollars,thousand dollars,megawatthours,megawatts
888,2019,IL,Illinois,Reporting Year,RES,residential,60765,112809,1152747,132.5,thousand dollars,thousand dollars,megawatthours,megawatts
889,2019,ID,Idaho,Reporting Year,RES,residential,12850,4371,64618,156.3,thousand dollars,thousand dollars,megawatthours,megawatts
890,2019,IA,Iowa,Reporting Year,RES,residential,10679,14481,137608,33.2,thousand dollars,thousand dollars,megawatthours,megawatts
891,2019,HI,Hawaii,Reporting Year,RES,residential,3922,7245,51732,10.1,thousand dollars,thousand dollars,megawatthours,megawatts
892,2019,GA,Georgia,Reporting Year,RES,residential,10453,8719,119323,19,thousand dollars,thousand dollars,megawatthours,megawatts
893,2019,FL,Florida,Reporting Year,RES,residential,39387,21589,132526,218.6,thousand dollars,thousand dollars,megawatthours,megawatts
894,2019,DE,Delaware,Reporting Year,RES,residential,11,2663,2052,6.9,thousand dollars,thousand dollars,megawatthours,megawatts
895,2019,DC,District of Columbia,Reporting Year,RES,residential,4378,2509,34584,4.1,thousand dollars,thousand dollars,megawatthours,megawatts
896,2019,CT,Connecticut,Reporting Year,RES,residential,17904,48373,174692,24.5,thousand dollars,thousand dollars,megawatthours,megawatts
897,2019,CO,Colorado,Reporting Year,RES,residential,15342,20847,286737,54.2,thousand dollars,thousand dollars,megawatthours,megawatts
898,2019,CA,California,Reporting Year,RES,residential,262471,259183,1369409,300.9,thousand dollars,thousand dollars,megawatthours,megawatts
899,2019,AZ,Arizona,Reporting Year,RES,residential,21457,34239,666982,209,thousand dollars,thousand dollars,megawatthours,megawatts
900,2019,AR,Arkansas,Reporting Year,RES,residential,7838,18200,102718,29.6,thousand dollars,thousand dollars,megawatthours,megawatts
901,2019,AL,Alabama,Reporting Year,RES,residential,5678,1089,10606,4.4,thousand dollars,thousand dollars,megawatthours,megawatts
902,2019,AK,Alaska,Reporting Year,RES,residential,24,0,300,.1,thousand dollars,thousand dollars,megawatthours,megawatts
903,2019,US,United States,Expected Life Cycle of Programs,TRN,transportation,33,0,526549,3.5,thousand dollars,thousand dollars,megawatthours,megawatts
904,2019,TX,Texas,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
905,2019,TN,Tennessee,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
906,2019,SD,South Dakota,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
907,2019,SC,South Carolina,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
908,2019,RI,Rhode Island,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
909,2019,PA,Pennsylvania,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
910,2019,OR,Oregon,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
911,2019,OK,Oklahoma,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
912,2019,WY,Wyoming,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
913,2019,WV,West Virginia,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
914,2019,WI,Wisconsin,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
915,2019,WA,Washington,Expected Life Cycle of Programs,TRN,transportation,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
